  Node     xx        yy       zz         ux            uy          uz         dx            dy          dz
 19191    18975.9   25000   0      0.0354799   0.0675929   0.0099697      0.0354799   0.0675929   0.0099697
 19098    18373.5   25000   0      0.0366051   0.0713679   0.0102457      0.0366051   0.0713679   0.0102457
 19086    17771.1   25000   0      0.03773   0.07535   0.0105439      0.03773   0.07535   0.0105439
 18950    17168.7   25000   0      0.0388105   0.0795581   0.0108595      0.0388105   0.0795581   0.0108595
 18867    16566.3   25000   0      0.0398117   0.0838953   0.0111953      0.0398117   0.0838953   0.0111953
 18862    15963.9   25000   0      0.0407719   0.0884893   0.0115463      0.0407719   0.0884893   0.0115463
 18715    15361.4   25000   0      0.0416345   0.0932177   0.0118974      0.0416345   0.0932177   0.0118974
 18716    14759   25000   0      0.0424369   0.0981301   0.0122727      0.0424369   0.0981301   0.0122727
 18675    14156.6   25000   0      0.0430902   0.103271   0.0126553      0.0430902   0.103271   0.0126553
 18662    13554.2   25000   0      0.0436058   0.108488   0.012995      0.0436058   0.108488   0.012995
 18442    12951.8   25000   0      0.0440273   0.113872   0.0133891      0.0440273   0.113872   0.0133891
 18444    12349.4   25000   0      0.0442395   0.119379   0.013814      0.0442395   0.119379   0.013814
 12254    11747   25000   0      0.0443354   0.125013   0.0142245      0.0443354   0.125013   0.0142245
 18445    11144.6   25000   0      0.0441817   0.130739   0.0146114      0.0441817   0.130739   0.0146114
 18335    10542.2   25000   0      0.0438072   0.136469   0.0150555      0.0438072   0.136469   0.0150555
 17687    9939.76   25000   0      0.0432593   0.14216   0.0154705      0.0432593   0.14216   0.0154705
 18282    9337.35   25000   0      0.0424239   0.148012   0.015862      0.0424239   0.148012   0.015862
 18200    8734.94   25000   0      0.0413946   0.153608   0.0162566      0.0413946   0.153608   0.0162566
 17682    8132.53   25000   0      0.0401015   0.159328   0.0166439      0.0401015   0.159328   0.0166439
 18178    7530.12   25000   0      0.0384886   0.164755   0.0170679      0.0384886   0.164755   0.0170679
 18065    6927.71   25000   0      0.0366613   0.169914   0.0173693      0.0366613   0.169914   0.0173693
 18045    6325.3   25000   0      0.0345287   0.175132   0.0178007      0.0345287   0.175132   0.0178007
 17947    5722.89   25000   0      0.0321776   0.179814   0.0181639      0.0321776   0.179814   0.0181639
 17813    5120.48   25000   0      0.029567   0.184269   0.0184314      0.029567   0.184269   0.0184314
 17823    4518.07   25000   0      0.026675   0.188424   0.0187485      0.026675   0.188424   0.0187485
 17819    3915.66   25000   0      0.0236168   0.19193   0.0189094      0.0236168   0.19193   0.0189094
 17709    3313.25   25000   0      0.0203376   0.195371   0.019224      0.0203376   0.195371   0.019224
 17480    2710.84   25000   0      0.016882   0.197909   0.0193461      0.016882   0.197909   0.0193461
 17478    2108.43   25000   0      0.013281   0.200244   0.0195841      0.013281   0.200244   0.0195841
 17483    1506.02   25000   0      0.00954059   0.202018   0.0196953      0.00954059   0.202018   0.0196953
 17544    903.614   25000   0      0.00571479   0.202966   0.0196831      0.00571479   0.202966   0.0196831
 17465    301.205   25000   0      0.00186145   0.203755   0.0198128      0.00186145   0.203755   0.0198128
 17463    -301.205   25000   0      -0.00201914   0.2037   0.019765      -0.00201914   0.2037   0.019765
 17474    -903.614   25000   0      -0.00587393   0.203116   0.0197724      -0.00587393   0.203116   0.0197724
 17472    -1506.02   25000   0      -0.00967989   0.202069   0.0197008      -0.00967989   0.202069   0.0197008
 17794    -2108.43   25000   0      -0.0134344   0.200194   0.0195453      -0.0134344   0.200194   0.0195453
 17894    -2710.84   25000   0      -0.0170216   0.198091   0.019379      -0.0170216   0.198091   0.019379
 17921    -3313.25   25000   0      -0.0204607   0.19531   0.019168      -0.0204607   0.19531   0.019168
 17967    -3915.66   25000   0      -0.0237411   0.191964   0.0189078      -0.0237411   0.191964   0.0189078
 18074    -4518.07   25000   0      -0.026805   0.188438   0.0187319      -0.026805   0.188438   0.0187319
 18088    -5120.48   25000   0      -0.0296659   0.184179   0.0183509      -0.0296659   0.184179   0.0183509
 11274    -5722.89   25000   0      -0.0322597   0.179863   0.0181292      -0.0322597   0.179863   0.0181292
 18163    -6325.3   25000   0      -0.0346423   0.175017   0.0177707      -0.0346423   0.175017   0.0177707
 18165    -6927.71   25000   0      -0.0367709   0.169951   0.0174735      -0.0367709   0.169951   0.0174735
 18222    -7530.12   25000   0      -0.038582   0.164811   0.0170855      -0.038582   0.164811   0.0170855
 17699    -8132.53   25000   0      -0.0401754   0.159294   0.0166925      -0.0401754   0.159294   0.0166925
 17700    -8734.94   25000   0      -0.0414707   0.153654   0.0163114      -0.0414707   0.153654   0.0163114
 18498    -9337.35   25000   0      -0.042569   0.148036   0.0158622      -0.042569   0.148036   0.0158622
 18499    -9939.76   25000   0      -0.0433679   0.142163   0.0154851      -0.0433679   0.142163   0.0154851
 18522    -10542.2   25000   0      -0.0439107   0.136465   0.0150737      -0.0439107   0.136465   0.0150737
 13132    -11144.6   25000   0      -0.0442709   0.130723   0.0146617      -0.0442709   0.130723   0.0146617
 18549    -11747   25000   0      -0.0443835   0.125009   0.0142651      -0.0443835   0.125009   0.0142651
 18502    -12349.4   25000   0      -0.0443501   0.119434   0.0138296      -0.0443501   0.119434   0.0138296
 18787    -12951.8   25000   0      -0.044131   0.113932   0.0134595      -0.044131   0.113932   0.0134595
 18790    -13554.2   25000   0      -0.0437009   0.108539   0.0130708      -0.0437009   0.108539   0.0130708
 18844    -14156.6   25000   0      -0.0431794   0.103326   0.0126981      -0.0431794   0.103326   0.0126981
 18903    -14759   25000   0      -0.0425031   0.0982083   0.0123213      -0.0425031   0.0982083   0.0123213
 19050    -15361.4   25000   0      -0.041751   0.0933349   0.0119441      -0.041751   0.0933349   0.0119441
 18977    -15963.9   25000   0      -0.0408938   0.0885653   0.0115997      -0.0408938   0.0885653   0.0115997
 19227    -16566.3   25000   0      -0.039915   0.0839794   0.0112489      -0.039915   0.0839794   0.0112489
 19133    -17168.7   25000   0      -0.038906   0.0796413   0.0109418      -0.038906   0.0796413   0.0109418
 19131    -17771.1   25000   0      -0.0378411   0.0754252   0.0106174      -0.0378411   0.0754252   0.0106174
 19132    -18373.5   25000   0      -0.0367375   0.0714467   0.0102933      -0.0367375   0.0714467   0.0102933
 21152    -18975.9   25000   0      -0.0356097   0.0676364   0.0100128      -0.0356097   0.0676364   0.0100128
 19589    -19578.3   25000   0      -0.0344453   0.0640101   0.00972157      -0.0344453   0.0640101   0.00972157
 19458    -20180.7   25000   0      -0.0332891   0.0606143   0.00945894      -0.0332891   0.0606143   0.00945894
 17361    -20783.1   25000   0      -0.0321196   0.0573232   0.00917983      -0.0321196   0.0573232   0.00917983
 17362    -21385.5   25000   0      -0.0309629   0.0542601   0.00891023      -0.0309629   0.0542601   0.00891023
 18514    -21988   25000   0      -0.029819   0.0513501   0.00866452      -0.029819   0.0513501   0.00866452
 17186    -22590.4   25000   0      -0.0286857   0.0485832   0.00841284      -0.0286857   0.0485832   0.00841284
 17194    -23192.8   25000   0      -0.0275812   0.0460228   0.00817837      -0.0275812   0.0460228   0.00817837
 17336    -23795.2   25000   0      -0.0264852   0.0435568   0.00794018      -0.0264852   0.0435568   0.00794018
 17257    -24397.6   25000   0      -0.0254157   0.0412638   0.00771849      -0.0254157   0.0412638   0.00771849
 17192    -25000   24397.6   0      -0.0245338   0.0387818   0.007949      -0.0245338   0.0387818   0.007949
 17242    -25000   23795.2   0      -0.0246839   0.038395   0.00839053      -0.0246839   0.038395   0.00839053
 17183    -25000   23192.8   0      -0.0247772   0.0379386   0.00883738      -0.0247772   0.0379386   0.00883738
 17182    -25000   22590.4   0      -0.0248521   0.0374284   0.00928866      -0.0248521   0.0374284   0.00928866
 18742    -25000   21988   0      -0.0248411   0.0368367   0.00974096      -0.0248411   0.0368367   0.00974096
 19157    -25000   21385.5   0      -0.0247846   0.0361901   0.0101897      -0.0247846   0.0361901   0.0101897
 19433    -25000   20783.1   0      -0.0246403   0.035465   0.0106479      -0.0246403   0.035465   0.0106479
 19425    -25000   20180.7   0      -0.0244232   0.034655   0.0111121      -0.0244232   0.034655   0.0111121
 19249    -25000   19578.3   0      -0.0241508   0.0337972   0.0115733      -0.0241508   0.0337972   0.0115733
 19169    -25000   18975.9   0      -0.0237458   0.0328504   0.012016      -0.0237458   0.0328504   0.012016
 19156    -25000   18373.5   0      -0.0232984   0.0318502   0.0124923      -0.0232984   0.0318502   0.0124923
 19037    -25000   17771.1   0      -0.022729   0.0307619   0.0129457      -0.022729   0.0307619   0.0129457
 18954    -25000   17168.7   0      -0.0220457   0.0296056   0.013398      -0.0220457   0.0296056   0.013398
 18892    -25000   16566.3   0      -0.0212801   0.0283835   0.0138222      -0.0212801   0.0283835   0.0138222
 18823    -25000   15963.9   0      -0.0203583   0.0270807   0.0142207      -0.0203583   0.0270807   0.0142207
 18678    -25000   15361.4   0      -0.0193857   0.0257577   0.0146419      -0.0193857   0.0257577   0.0146419
 17437    -25000   14759   0      -0.0182491   0.024356   0.0150155      -0.0182491   0.024356   0.0150155
 18681    -25000   14156.6   0      -0.0170296   0.0229224   0.0153685      -0.0170296   0.0229224   0.0153685
 18664    -25000   13554.2   0      -0.0157132   0.0214675   0.0157185      -0.0157132   0.0214675   0.0157185
 18552    -25000   12951.8   0      -0.0142261   0.0199426   0.0159898      -0.0142261   0.0199426   0.0159898
 18540    -25000   12349.4   0      -0.012713   0.0184639   0.0162865      -0.012713   0.0184639   0.0162865
 18393    -25000   11747   0      -0.0110487   0.0169272   0.0165243      -0.0110487   0.0169272   0.0165243
 18390    -25000   11144.6   0      -0.00931088   0.0154279   0.0167282      -0.00931088   0.0154279   0.0167282
 18391    -25000   10542.2   0      -0.00754117   0.0139398   0.0168712      -0.00754117   0.0139398   0.0168712
 18323    -25000   9939.76   0      -0.00564357   0.0124454   0.0169664      -0.00564357   0.0124454   0.0169664
 21515    -25000   9337.35   0      -0.00374873   0.0110177   0.0170429      -0.00374873   0.0110177   0.0170429
 18189    -25000   8734.94   0      -0.00180313   0.00961674   0.0170691      -0.00180313   0.00961674   0.0170691
 18148    -25000   8132.53   0      0.000204652   0.00826801   0.0170544      0.000204652   0.00826801   0.0170544
 18138    -25000   7530.12   0      0.00211771   0.00701668   0.0169763      0.00211771   0.00701668   0.0169763
 12427    -25000   6927.71   0      0.00404736   0.00580095   0.0168563      0.00404736   0.00580095   0.0168563
 12760    -25000   6325.3   0      0.00594112   0.0046792   0.0167062      0.00594112   0.0046792   0.0167062
 12762    -25000   5722.89   0      0.00774283   0.00361883   0.0164946      0.00774283   0.00361883   0.0164946
 17799    -25000   5120.48   0      0.00946365   0.00264157   0.0162595      0.00946365   0.00264157   0.0162595
 17633    -25000   4518.07   0      0.0110796   0.00175916   0.0159867      0.0110796   0.00175916   0.0159867
 17605    -25000   3915.66   0      0.01255   0.000932551   0.0156847      0.01255   0.000932551   0.0156847
 17732    -25000   3313.25   0      0.0139285   0.000183998   0.0153331      0.0139285   0.000183998   0.0153331
 17600    -25000   2710.84   0      0.0150787   -0.00049003   0.0149724      0.0150787   -0.00049003   0.0149724
 17602    -25000   2108.43   0      0.0161212   -0.00111087   0.0145794      0.0161212   -0.00111087   0.0145794
