31557600.0
node 23    -223581   -2.81973e+06   -3.03469e+06      1.94596e+06   -457874   -3.35578e+06      2.31644e+06   -549882   -4.10092e+06
node 24    -846909   -2.43455e+06   -3.47e+06      1.95276e+06   -824508   -3.20117e+06      2.32372e+06   -987739   -3.90968e+06
node 25    80926   -2.23187e+06   -4.75467e+06      2.2287e+06   -794616   -3.60521e+06      2.65224e+06   -951889   -4.40453e+06
node 26    -626300   -2.01932e+06   -4.22319e+06      2.1192e+06   -821622   -3.46372e+06      2.52091e+06   -984549   -4.23084e+06
node 27    123098   -1.50647e+06   -3.94708e+06      2.15567e+06   -778003   -3.7273e+06      2.56587e+06   -932330   -4.55367e+06
node 28    -2.55128e+06   -474511   3.39756e+06      2.52717e+06   -1.1603e+06   -4.53353e+06      3.06373e+06   -1.37591e+06   -5.45675e+06
node 29    -2.19669e+06   -22015.4   4.08418e+06      2.41169e+06   -1.15697e+06   -4.56207e+06      2.9362e+06   -1.37462e+06   -5.45933e+06
node 30    -2.40174e+06   233207   3.19193e+06      2.42381e+06   -1.1375e+06   -4.45896e+06      2.94095e+06   -1.36013e+06   -5.36309e+06
node 31    -3.19623e+06   533982   3.44142e+06      2.38858e+06   -1.24107e+06   -4.31222e+06      2.89083e+06   -1.48622e+06   -5.21543e+06
node 32    -2.53701e+06   -1.26623e+06   4.46635e+06      2.59176e+06   -1.18405e+06   -4.60081e+06      3.13729e+06   -1.39953e+06   -5.55605e+06
node 33    -1.68532e+06   -1.12813e+06   3.74436e+06      2.56437e+06   -1.09081e+06   -4.66093e+06      3.10032e+06   -1.28853e+06   -5.59619e+06
node 34    -2.42625e+06   -496390   4.70757e+06      2.46544e+06   -1.19572e+06   -4.60064e+06      3.00637e+06   -1.41777e+06   -5.51781e+06
node 35    -2.1086e+06   -671392   2.71165e+06      2.59475e+06   -1.07975e+06   -4.6035e+06      3.1475e+06   -1.27384e+06   -5.5355e+06
node 36    -3.17683e+06   -597890   2.71408e+06      2.59834e+06   -1.19012e+06   -4.43926e+06      3.14227e+06   -1.41484e+06   -5.37136e+06
node 37    1.23189e+06   -1.7144e+06   4.90315e+06      2.45972e+06   -774350   -4.42196e+06      2.9777e+06   -1.01059e+06   -5.4004e+06
node 38    1.28408e+06   -771360   4.49506e+06      2.39643e+06   -846492   -4.46406e+06      2.83234e+06   -1.02876e+06   -5.32282e+06
node 39    2.03331e+06   -1.59108e+06   5.11537e+06      2.4156e+06   -724922   -4.30708e+06      2.9229e+06   -922593   -5.25886e+06
node 40    2.04555e+06   -1.51489e+06   4.53583e+06      2.43772e+06   -768975   -4.30369e+06      2.9132e+06   -938615   -5.23201e+06
node 41    -2.61201e+06   -1.29148e+06   2.77345e+06      2.6643e+06   -1.12621e+06   -4.53068e+06      3.21826e+06   -1.33021e+06   -5.48297e+06
node 42    -2.72404e+06   -1.29973e+06   3.6482e+06      2.62827e+06   -1.17324e+06   -4.55278e+06      3.17594e+06   -1.3883e+06   -5.50468e+06
node 43    1.78798e+06   2.85567e+06   947780      1.86e+06   -795443   -4.10361e+06      2.20597e+06   -964350   -5.01005e+06
node 44    2.47323e+06   2.40025e+06   609872      1.92397e+06   -687184   -4.08477e+06      2.28049e+06   -833449   -4.98174e+06
node 45    1.93239e+06   2.917e+06   -83627      1.9277e+06   -732475   -4.12294e+06      2.2904e+06   -883683   -5.03635e+06
node 46    2.11813e+06   3.36987e+06   511166      1.84091e+06   -746893   -4.10919e+06      2.18584e+06   -903830   -5.01953e+06
node 47    -1.76858e+06   -418446   3.57109e+06      2.47018e+06   -1.0977e+06   -4.65222e+06      3.00172e+06   -1.30058e+06   -5.54592e+06
node 48    1.3732e+06   -1.63655e+06   -4.27257e+06      2.27138e+06   -765024   -4.15039e+06      2.7058e+06   -916361   -5.07016e+06
node 49    1.79692e+06   -1.79263e+06   -3.06863e+06      2.33134e+06   -795792   -4.23159e+06      2.77933e+06   -953676   -5.16919e+06
node 50    1.96893e+06   -2.54572e+06   -3.2912e+06      2.36547e+06   -741830   -4.21636e+06      2.82004e+06   -889001   -5.15151e+06
node 51    -221665   -304169   -5.10324e+06      2.19515e+06   -819641   -4.13953e+06      2.61053e+06   -982246   -5.05698e+06
node 52    -140904   -132090   -4.2766e+06      2.19116e+06   -811989   -4.1658e+06      2.60659e+06   -973030   -5.08926e+06
node 53    -586190   730934   -4.97612e+06      2.14558e+06   -835183   -4.20606e+06      2.55039e+06   -1.00115e+06   -5.13904e+06
node 54    -933359   -322267   -3.98591e+06      2.14516e+06   -847817   -4.06529e+06      2.55042e+06   -1.01627e+06   -4.96594e+06
node 55    -1.0692e+06   -1.3094e-10   -3.33269e+06      2.11179e+06   -849676   -4.13452e+06      2.51003e+06   -1.01832e+06   -5.05086e+06
node 56    -1.22839e+06   776688   -3.18399e+06      2.08695e+06   -861618   -4.13699e+06      2.48012e+06   -1.03211e+06   -5.05459e+06
node 57    -608949   386864   -3.99143e+06      2.15531e+06   -833886   -4.18087e+06      2.5629e+06   -999361   -5.10807e+06
node 58    -1.50448e+06   302157   -4.01461e+06      2.11635e+06   -890746   -4.11413e+06      2.51472e+06   -1.06793e+06   -5.02528e+06
node 59    -1.27262e+06   1.27819e+06   -3.74991e+06      2.08089e+06   -876000   -4.09647e+06      2.47277e+06   -1.04991e+06   -5.00541e+06
node 60    200837   655954   -4.57811e+06      2.18271e+06   -793035   -4.26141e+06      2.59666e+06   -950233   -5.20649e+06
node 61    -287216   1.09015e+06   -3.99691e+06      2.13939e+06   -813218   -4.22562e+06      2.54428e+06   -974367   -5.16356e+06
node 62    -2.14313e-10   -2.62458e-26   -3.5e+06      2.21088e+06   -801205   -4.22375e+06      2.63097e+06   -959854   -5.16027e+06
node 63    -1.4077e+06   -897017   5.48148e+06      2.47755e+06   -1.09415e+06   -4.72797e+06      3.00273e+06   -1.31222e+06   -5.64036e+06
node 64    -1.41089e+06   -1.38938e+06   5.37698e+06      2.57972e+06   -1.04301e+06   -4.66892e+06      3.0789e+06   -1.28897e+06   -5.63974e+06
node 65    -1.48434e+06   -1.23024e+06   4.93197e+06      2.53659e+06   -1.09068e+06   -4.67928e+06      3.06132e+06   -1.30338e+06   -5.62281e+06
node 66    -299905   -519957   4.60042e+06      2.37047e+06   -1.05259e+06   -4.94238e+06      2.88445e+06   -1.20495e+06   -5.62078e+06
node 67    -1.07676e+06   -561965   5.11693e+06      2.37089e+06   -1.09677e+06   -4.8129e+06      2.926e+06   -1.28482e+06   -5.62625e+06
node 68    -654734   -422935   5.16787e+06      2.31936e+06   -1.10013e+06   -4.94693e+06      2.87752e+06   -1.25345e+06   -5.63797e+06
