  x        y       z         ux            uy          uz
-21988   25000   0      -0.0673498   0.0720196   -0.00905228
-22590.4   25000   0      -0.0665525   0.0703235   -0.00912182
-23192.8   25000   0      -0.0656997   0.068601   -0.00918614
-23795.2   25000   0      -0.0647701   0.0668459   -0.0092312
-24397.6   25000   0      -0.0638238   0.0651351   -0.00927347
-25000   24397.6   0      -0.0646467   0.064533   -0.00926517
-25000   23795.2   0      -0.066492   0.0656567   -0.00923437
-25000   23192.8   0      -0.0684   0.0667768   -0.00918241
-25000   22590.4   0      -0.070284   0.0678187   -0.00913022
-25000   21988   0      -0.0721879   0.0688333   -0.00905418
-25000   21385.5   0      -0.0740863   0.0697695   -0.00896282
-25000   20783.1   0      -0.0759516   0.070655   -0.00884538
-25000   20180.7   0      -0.0778375   0.071461   -0.00871046
-25000   19578.3   0      -0.0796105   0.0721507   -0.00859126
-25000   18975.9   0      -0.0813793   0.0727958   -0.00840951
-25000   18373.5   0      -0.0830914   0.0733126   -0.00822146
-25000   17771.1   0      -0.0846837   0.0737339   -0.00800904
-25000   17168.7   0      -0.0862264   0.0740321   -0.00777975
-25000   16566.3   0      -0.0876082   0.074184   -0.00754115
-25000   15963.9   0      -0.088844   0.0742325   -0.00729129
-25000   15361.4   0      -0.0899756   0.0741233   -0.00700019
-25000   14759   0      -0.0908327   0.0738719   -0.00671211
-25000   14156.6   0      -0.091556   0.0734804   -0.00638994
-25000   13554.2   0      -0.0920327   0.072909   -0.00605477
-25000   12951.8   0      -0.0921696   0.0722016   -0.00571901
-25000   12349.4   0      -0.0921289   0.0713208   -0.00535996
-25000   11747   0      -0.0916151   0.0702769   -0.00501055
-25000   11144.6   0      -0.090861   0.06911   -0.00465026
-25000   10542.2   0      -0.0896935   0.0677718   -0.00429406
-25000   9939.76   0      -0.0880683   0.0663128   -0.00395969
-25000   9337.35   0      -0.0861636   0.0647583   -0.00359196
-25000   8734.94   0      -0.0836156   0.0630673   -0.00327065
-25000   8132.53   0      -0.0807029   0.0613345   -0.00292456
-25000   7530.12   0      -0.0773556   0.0595315   -0.00257681
-25000   6927.71   0      -0.0734119   0.0576739   -0.00230111
-25000   6325.3   0      -0.0691546   0.0558676   -0.00198793
-25000   5722.89   0      -0.0642487   0.0540155   -0.00173639
-25000   5120.48   0      -0.0589438   0.0522803   -0.00149195
-25000   4518.07   0      -0.0533164   0.0506532   -0.00120014
-25000   3915.66   0      -0.0471158   0.0490632   -0.00103484
-25000   3313.25   0      -0.0406698   0.0477302   -0.000819427
-25000   2710.84   0      -0.0337914   0.0464838   -0.000647765
-25000   2108.43   0      -0.0265902   0.0454814   -0.000498546
-25000   1506.02   0      -0.01931   0.0447664   -0.00030205
-25000   903.614   0      -0.0117495   0.0441824   -0.000184153
-25000   301.205   0      -0.00408984   0.0439644   -4.82299e-05
-25000   -301.205   0      0.00356221   0.0439074   8.20374e-05
-25000   -903.614   0      0.0112632   0.0441688   0.000196542
-25000   -1506.02   0      0.018745   0.0447433   0.000360292
-25000   -2108.43   0      0.0260772   0.0454623   0.000492759
-25000   -2710.84   0      0.0332984   0.0464939   0.000634247
-25000   -3313.25   0      0.0400457   0.0476554   0.000834141
-25000   -3915.66   0      0.0466411   0.0490246   0.00100475
-25000   -4518.07   0      0.0527704   0.0505967   0.00122928
-25000   -5120.48   0      0.0584418   0.052225   0.00145313
-25000   -5722.89   0      0.063841   0.0540173   0.00168142
-25000   -6325.3   0      0.0685774   0.0558214   0.00196836
-25000   -6927.71   0      0.0729967   0.0576515   0.00226572
-25000   -7530.12   0      0.0768897   0.0594959   0.00257614
-25000   -8132.53   0      0.0802123   0.0612851   0.00292519
-25000   -8734.94   0      0.0832385   0.0630348   0.00324112
-25000   -9337.35   0      0.085618   0.0647041   0.00361012
-25000   -9939.76   0      0.0876445   0.0662589   0.00397006
-25000   -10542.2   0      0.0892857   0.0677094   0.00430825
-25000   -11144.6   0      0.0904108   0.0690356   0.00467743
-25000   -11747   0      0.0912719   0.0702096   0.00502875
-25000   -12349.4   0      0.0917336   0.0712598   0.00537162
-25000   -12951.8   0      0.0918314   0.0721224   0.0057279
-25000   -13554.2   0      0.0917151   0.0728431   0.00604569
-25000   -14156.6   0      0.0912544   0.0734193   0.00639238
-25000   -14759   0      0.0906182   0.0738042   0.00670477
-25000   -15361.4   0      0.0897404   0.0740727   0.0070004
-25000   -15963.9   0      0.0886469   0.074174   0.00728648
-25000   -16566.3   0      0.0874378   0.0741259   0.00754645
-25000   -17168.7   0      0.086037   0.0739678   0.00779433
-25000   -17771.1   0      0.0845236   0.0736481   0.00803675
-25000   -18373.5   0      0.0829727   0.0732683   0.00821615
-25000   -18975.9   0      0.081259   0.0727468   0.00841373
-25000   -19578.3   0      0.0795132   0.0721124   0.00858106
-25000   -20180.7   0      0.0777125   0.0714183   0.00872142
-25000   -20783.1   0      0.0758595   0.070613   0.00885674
-25000   -21385.5   0      0.0740172   0.0697638   0.00896381
-25000   -21988   0      0.0721179   0.0688254   0.00906635
-25000   -22590.4   0      0.0702305   0.0678139   0.00914644
-25000   -23192.8   0      0.0683588   0.0667762   0.00920031
-25000   -23795.2   0      0.0664658   0.0656692   0.00925223
