
Model of Maule fault in Chile
3 fixed CMB points

 Gravity changes  -- element group #1 

 Simulation time = 0.000000 ; step size = 0

 coordinates                          accelerations . . .->      geoid change & gradients
   X             Y            Z       dg_x        dg_y      dg_z      dg_net        dN    P_zx     P_zy     P_zz
-1.99824e+06  -1.56246e+06  2.36716e+06      -6.26842e-10  -5.16631e-10  -9.03679e-10     -9.82     -0.000483312    4.04518e-16     7.1574e-16     -5.23116e-17
-2.17958e+06  -2.04618e+06  1.76805e+06      -4.20181e-10  -2.27988e-10  -7.45905e-10     -9.82     -0.000409922    9.43243e-17     -1.98132e-16     -3.93026e-18
1.28157e+06  -2.82882e+06  1.53976e+06      1.3593e-10  -3.33427e-10  -5.85029e-10     -9.82     -0.000402613    -1.47133e-16     1.93254e-16     7.54764e-19
-50503.7  -1.945e+06  2.87202e+06      -7.13157e-11  -1.13584e-09  -1.2277e-09     -9.82     -0.000594183    1.0456e-16     1.26553e-15     2.10793e-17
-1.91215e+06  2.50484e+06  -1.42239e+06      -1.0108e-10  5.45605e-11  -2.59392e-10     -9.82     -0.000285496    5.52992e-17     -3.99041e-18     5.39247e-17
-283768  -2.75312e+06  2.09267e+06      -6.96005e-11  -5.09113e-10  -8.02862e-10     -9.82     -0.000452787    -8.38414e-17     2.03318e-16     1.77327e-17
-43051.5  2.96423e+06  1.80822e+06      8.39515e-12  4.4725e-10  -6.90546e-10     -9.82     -0.000433513    -5.85711e-17     -2.66194e-16     1.57238e-16
299315  -2.4599e+06  2.4347e+06      4.07151e-11  -6.85352e-10  -9.62083e-10     -9.82     -0.000502074    -2.55147e-18     1.86685e-16     1.04261e-17
-2.78942e+06  -1.49878e+06  1.41537e+06      -2.97043e-10  -1.47697e-10  -6.32997e-10     -9.82     -0.000375569    1.06836e-16     -6.77349e-17     6.27431e-17
1.11177e+06  2.77764e+06  1.74469e+06      1.93715e-10  4.20259e-10  -6.61617e-10     -9.82     -0.000425578    -1.05771e-16     -1.88018e-16     -1.49031e-16
-1.31633e+06  -1.19884e+06  -2.97034e+06      -8.17132e-11  -5.47133e-11  -2.06305e-10     -9.82     -0.000250376    2.65472e-17     1.29593e-17     2.59273e-18
1.40298e+06  3.16474e+06  82004.1      1.11379e-10  1.56708e-10  -3.29166e-10     -9.82     -0.000328096    -7.88362e-17     6.76026e-18     -4.62038e-17
766903  -3.35871e+06  336890      2.87277e-12  -1.62988e-10  -3.67367e-10     -9.82     -0.000334682    -2.71721e-18     3.85043e-17     -4.84387e-17
-1.46092e+06  3.07835e+06  -622261      -7.6674e-11  1.07138e-10  -3.04525e-10     -9.82     -0.000308445    -6.42862e-18     -3.95372e-17     6.82189e-17
2.2773e+06  1.95097e+06  1.7491e+06      4.11343e-10  3.22794e-10  -6.4476e-10     -9.82     -0.000420325    -2.93737e-16     -1.75871e-16     -6.68739e-18
938326  -3.27519e+06  -642043      1.5913e-12  -1.25459e-10  -2.8229e-10     -9.82     -0.000302741    1.31436e-17     4.46172e-17     -1.85177e-17
2.83431e+06  1.40079e+06  -1.42025e+06      1.52627e-10  6.80765e-11  -2.44176e-10     -9.82     -0.000284452    1.50096e-17     4.82961e-17     5.6811e-17
814671  3.35351e+06  -350068      6.58835e-11  1.55462e-10  -2.93404e-10     -9.82     -0.000315537    -2.22772e-17     -3.61469e-17     -1.02148e-17
1.65253e+06  1.81883e+06  2.44346e+06      6.34581e-10  6.22919e-10  -9.2785e-10     -9.82     -0.000512894    -8.59144e-16     -4.05163e-16     -1.30155e-16
-3.1911e+06  1.30011e+06  -305624      -1.15587e-10  -4.06585e-11  -3.03956e-10     -9.82     -0.000303676    7.37109e-17     -9.63903e-17     -1.66087e-16
